sowing;sowD;harvY;harvD;till;crop;Orgdat;Type;OrgN;NDat1;N1;Ndat2;N2;Ndat3;N3
01.09.61;244;1962;258;11.08.61;WW;--------;---;.0;01.09.61;25.6;18.04.62;68.3;29.05.62;63.5
skipped;0;0;0;16.09.62;000;15.09.62;RM;240.0;----------;.0;----------;.0;29.05.62;.0
01.05.63;121;1963;243;01.03.63;SG;--------;---;.0;01.05.63;65.3;----------;.0;----------;.0
01.09.63;244;1964;91;01.04.64;WRC;01.09.63;RM;240.0;----------;.0;----------;.0;----------;.0
18.04.64;109;1964;289;15.03.64;SM;--------;---;.0;18.04.64;74.4;03.07.64;86.5;----------;.0
20.10.64;294;1965;250;17.06.64;WW;16.10.64;RM;240.0;----------;.0;22.04.65;56.2;----------;.0
10.09.65;253;1966;221;16.06.65;WRA;08.09.65;RM;240.0;----------;.0;01.03.66;68.5;25.04.66;8.3
02.09.66;245;1967;229;16.06.66;WW;--------;---;.0;----------;.0;21.03.67;64.6;23.05.67;35.3
22.08.67;234;1968;91;16.06.67;WRC;18.08.67;RM;240.0;----------;.0;----------;.0;----------;.0
19.04.68;110;1968;243;17.02.68;SG;--------;---;.0;19.04.68;76.7;----------;.0;----------;.0
01.09.68;245;1969;90;16.06.68;WRC;31.08.68;RM;240.0;----------;.0;----------;.0;----------;.0
10.05.69;130;1969;288;17.03.69;SM;--------;---;.0;10.05.69;78.2;15.07.69;77.5;----------;.0
20.10.69;293;1970;233;17.06.69;WW;16.10.69;RM;240.0;----------;.0;07.05.70;56.4;----------;.0
26.08.70;238;1971;230;16.06.70;WRA;22.08.70;RM;240.0;----------;.0;01.03.71;51.8;----------;.0
01.09.71;244;1972;226;16.06.71;WW;--------;---;.0;----------;.0;04.04.72;61.4;23.05.72;35.3
19.08.72;232;1973;90;16.06.72;WRC;14.08.72;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.73;121;1973;240;17.02.73;SG;--------;---;.0;01.05.73;52.0;----------;.0;----------;.0
01.09.73;244;1974;90;16.06.73;WRC;29.08.73;RM;240.0;----------;.0;----------;.0;----------;.0
06.04.74;96;1974;288;17.02.74;SM;--------;---;.0;06.04.74;68.9;18.07.74;34.9;----------;.0
20.10.74;293;1975;234;17.06.74;WW;16.10.74;RM;240.0;----------;.0;21.04.75;49.2;----------;.0
27.08.75;239;1976;217;16.06.75;WRA;23.08.75;RM;240.0;----------;.0;29.02.76;57.1;----------;.0
09.09.76;253;1977;227;16.06.76;WW;--------;---;.0;----------;.0;17.04.77;58.7;----------;.0
20.08.77;232;1978;90;16.06.77;WRC;16.08.77;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.78;121;1978;258;17.02.78;SG;--------;---;.0;01.05.78;65.3;----------;.0;----------;.0
skipped;0;0;0;16.09.78;000;15.09.78;RM;240.0;----------;.0;----------;.0;----------;.0
10.05.79;130;1979;288;15.02.79;SM;--------;---;.0;10.05.79;68.8;08.07.79;82.9;----------;.0
20.10.79;293;1980;230;17.06.79;WW;16.10.79;RM;240.0;----------;.0;29.04.80;51.9;----------;.0
28.08.80;241;1981;219;16.06.80;WRA;18.08.80;RM;240.0;----------;.0;01.03.81;65.6;02.04.81;16.8
01.09.81;244;1982;224;16.06.81;WW;--------;---;.0;01.09.81;15.5;05.04.82;61.6;25.05.82;43.6
01.09.82;244;1983;90;16.06.82;WRC;13.08.82;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.83;121;1983;232;17.02.83;SG;--------;---;.0;01.05.83;66.2;----------;.0;----------;.0
25.08.83;237;1984;91;16.06.83;WRC;21.08.83;RM;240.0;----------;.0;----------;.0;----------;.0
23.04.84;114;1984;289;17.02.84;SM;--------;---;.0;23.04.84;64.1;10.07.84;70.1;----------;.0
20.10.84;294;1985;236;18.06.84;WW;16.10.84;RM;240.0;----------;.0;02.05.85;53.3;----------;.0
29.08.85;241;1986;223;16.06.85;WRA;25.08.85;RM;240.0;----------;.0;01.03.86;62.2;----------;.0
01.09.86;244;1987;243;16.06.86;WW;--------;---;.0;----------;.0;20.04.87;60.5;----------;.0
01.09.87;244;1988;91;16.06.87;WRC;01.09.87;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.88;122;1988;241;20.02.88;SG;--------;---;.0;01.05.88;59.1;----------;.0;----------;.0
01.09.88;245;1989;90;16.06.88;WRC;29.08.88;RM;240.0;----------;.0;----------;.0;----------;.0
15.04.89;105;1989;288;17.02.89;SM;--------;---;.0;15.04.89;63.9;12.07.89;56.1;----------;.0
20.10.89;293;1990;224;17.06.89;WW;16.10.89;RM;240.0;----------;.0;14.03.90;53.3;----------;.0
26.08.90;238;1991;233;14.08.90;WRA;--------;---;.0;----------;.0;01.03.91;65.4;----------;.0
01.09.91;244;1992;207;23.08.91;WW;--------;---;.0;01.09.91;21.1;29.02.92;52.2;19.05.92;41.5
27.04.93;117;1993;258;27.07.92;SG;--------;---;.0;27.04.93;52.8;----------;.0;----------;.0
04.05.94;124;1994;288;16.09.93;SM;--------;---;.0;04.05.94;77.8;13.07.94;74.1;----------;.0
20.10.94;293;1995;237;16.10.94;WW;--------;---;.0;20.10.94;21.9;12.04.95;62.7;----------;.0
30.08.95;242;1996;239;26.08.95;WRA;--------;---;.0;----------;.0;29.02.96;63.9;----------;.0
03.09.96;247;1997;222;27.08.96;WW;--------;---;.0;03.09.96;29.7;29.03.97;65.3;25.05.97;48.6
01.05.98;121;1998;258;11.08.97;SG;--------;---;.0;01.05.98;72.4;----------;.0;----------;.0
27.04.99;117;1999;288;16.09.98;SM;--------;---;.0;27.04.99;87.8;13.07.99;94.1;----------;.0
20.10.99;293;2000;226;16.10.99;WW;--------;---;.0;20.10.99;34.0;26.03.00;65.3;11.05.00;1.3
27.08.00;240;2001;211;14.08.00;WRA;--------;---;.0;27.08.00;30.6;01.03.01;68.4;02.04.01;27.7
01.09.01;244;2002;211;31.07.01;WW;--------;---;.0;01.09.01;19.4;17.03.02;68.3;13.05.02;64.5
17.04.03;107;2003;218;31.07.02;SG;--------;---;.0;17.04.03;72.9;----------;.0;----------;.0
30.04.04;121;2004;289;08.08.03;SM;--------;---;.0;30.04.04;89.3;08.07.04;95.7;----------;.0
20.10.04;294;2005;227;16.10.04;WW;--------;---;.0;20.10.04;37.5;08.04.05;67.0;23.05.05;14.7
30.08.05;242;2006;211;17.08.05;WRA;--------;---;.0;30.08.05;33.0;01.03.06;69.2;15.04.06;61.2
09.09.06;252;2007;214;31.07.06;WW;--------;---;.0;09.09.06;30.9;12.03.07;68.3;06.05.07;65.2
23.04.08;114;2008;230;03.08.07;SG;--------;---;.0;23.04.08;79.1;----------;.0;----------;.0
23.04.09;113;2009;288;18.08.08;SM;--------;---;.0;23.04.09;86.9;02.07.09;90.2;----------;.0
20.10.09;293;2010;221;16.10.09;WW;--------;---;.0;20.10.09;36.9;15.04.10;67.3;26.05.10;16.7
01.09.10;244;2011;206;11.08.10;WRA;--------;---;.0;01.09.10;35.9;01.03.11;69.3;09.04.11;27.0
05.09.11;248;2012;206;27.07.11;WW;--------;---;.0;05.09.11;18.4;24.03.12;68.4;09.05.12;64.5
14.04.13;104;2013;215;25.07.12;SG;--------;---;.0;14.04.13;80.9;----------;.0;----------;.0
07.05.14;127;2014;288;05.08.13;SM;--------;---;.0;07.05.14;91.1;10.07.14;91.3;----------;.0
20.10.14;293;2015;215;16.10.14;WW;--------;---;.0;20.10.14;36.9;30.03.15;66.9;15.05.15;14.9
30.08.15;242;2016;197;05.08.15;WRA;--------;---;.0;30.08.15;28.8;29.02.16;68.5;14.03.16;25.7
12.09.16;256;2017;213;16.07.16;WW;--------;---;.0;12.09.16;24.5;16.03.17;68.5;16.05.17;61.8
01.05.18;121;2018;221;02.08.17;SG;--------;---;.0;01.05.18;82.7;----------;.0;----------;.0
18.04.19;108;2019;288;11.08.18;SM;--------;---;.0;18.04.19;91.7;12.06.19;91.1;----------;.0
20.10.19;293;2020;207;16.10.19;WW;--------;---;.0;20.10.19;37.0;22.03.20;66.6;09.05.20;17.8
03.09.20;247;2021;202;27.07.20;WRA;--------;---;.0;03.09.20;32.2;01.03.21;68.7;07.03.21;19.4
02.09.21;245;2022;206;22.07.21;WW;--------;---;.0;02.09.21;16.8;28.02.22;68.4;08.05.22;59.0
11.04.23;101;2023;212;27.07.22;SG;--------;---;.0;11.04.23;82.2;----------;.0;----------;.0
23.04.24;114;2024;289;02.08.23;SM;--------;---;.0;23.04.24;93.9;18.06.24;91.6;----------;.0
20.10.24;294;2025;215;16.10.24;WW;--------;---;.0;20.10.24;36.5;14.04.25;67.7;20.05.25;18.4
26.08.25;238;2026;201;05.08.25;WRA;--------;---;.0;26.08.25;28.7;01.03.26;69.3;30.03.26;59.6
01.09.26;244;2027;210;21.07.26;WW;--------;---;.0;01.09.26;8.5;02.04.27;68.4;12.05.27;65.2
