sowing;sowD;harvY;harvD;till;crop;Orgdat;Type;OrgN;NDat1;N1;Ndat2;N2;Ndat3;N3
01.09.61;244;1962;258;15.06.61;WW;--------;---;.0;01.09.61;9.9;18.04.62;67.7;29.05.62;62.4
skipped;0;0;0;16.09.62;000;15.09.62;RM;240.0;----------;.0;----------;.0;29.05.62;.0
01.09.63;244;1964;229;15.06.63;WW;--------;---;.0;01.09.63;18.8;17.04.64;61.8;20.05.64;36.0
22.08.64;235;1965;90;17.08.64;WRC;17.08.64;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.65;121;1965;258;01.04.65;SG;--------;---;.0;01.05.65;73.4;----------;.0;----------;.0
skipped;0;0;0;16.09.65;000;15.09.65;RM;240.0;----------;.0;----------;.0;----------;.0
28.04.66;118;1966;288;15.03.66;SM;--------;---;.0;28.04.66;84.3;01.07.66;86.0;----------;.0
20.10.66;293;1967;229;16.10.66;WW;16.10.66;RM;240.0;----------;.0;11.04.67;62.0;----------;.0
26.08.67;238;1968;222;18.08.67;WRA;18.08.67;RM;240.0;----------;.0;29.02.68;69.2;31.03.68;18.6
03.09.68;247;1969;229;11.08.68;WW;--------;---;.0;03.09.68;2.0;25.04.69;67.4;01.06.69;38.1
22.08.69;234;1970;90;18.08.69;WRC;18.08.69;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.70;121;1970;240;01.04.70;SG;--------;---;.0;01.05.70;78.6;----------;.0;----------;.0
01.09.70;244;1971;90;29.08.70;WRC;29.08.70;RM;240.0;----------;.0;----------;.0;----------;.0
08.05.71;128;1971;288;01.04.71;SM;--------;---;.0;08.05.71;51.9;09.07.71;72.4;----------;.0
20.10.71;293;1972;228;16.10.71;WW;16.10.71;RM;240.0;----------;.0;12.04.72;56.3;----------;.0
26.08.72;239;1973;224;17.08.72;WRA;16.08.72;RM;240.0;----------;.0;01.03.73;49.7;----------;.0
04.09.73;247;1974;233;14.08.73;WW;--------;---;.0;----------;.0;21.03.74;54.4;18.05.74;24.1
26.08.74;238;1975;90;23.08.74;WRC;22.08.74;RM;240.0;----------;.0;----------;.0;----------;.0
26.04.75;116;1975;235;01.04.75;SG;--------;---;.0;26.04.75;62.9;----------;.0;----------;.0
28.08.75;240;1976;91;24.08.75;WRC;24.08.75;RM;240.0;----------;.0;----------;.0;----------;.0
08.05.76;129;1976;289;01.04.76;SM;--------;---;.0;08.05.76;53.9;08.07.76;28.9;----------;.0
20.10.76;294;1977;228;16.10.76;WW;16.10.76;RM;240.0;----------;.0;24.04.77;52.3;----------;.0
26.08.77;238;1978;225;17.08.77;WRA;17.08.77;RM;240.0;----------;.0;01.03.78;66.4;08.04.78;31.3
01.09.78;244;1979;243;14.08.78;WW;--------;---;.0;01.09.78;16.2;22.04.79;62.9;31.05.79;13.8
01.09.79;244;1980;91;01.04.80;WRC;01.09.79;RM;240.0;----------;.0;----------;.0;----------;.0
15.04.80;106;1980;241;15.02.80;SG;--------;---;.0;15.04.80;73.6;----------;.0;----------;.0
01.09.80;245;1981;90;16.06.80;WRC;29.08.80;RM;240.0;----------;.0;----------;.0;----------;.0
14.04.81;104;1981;288;17.02.81;SM;--------;---;.0;14.04.81;80.8;02.07.81;87.4;----------;.0
20.10.81;293;1982;224;17.06.81;WW;16.10.81;RM;240.0;----------;.0;19.04.82;39.7;----------;.0
30.08.82;242;1983;219;16.06.82;WRA;13.08.82;RM;240.0;----------;.0;01.03.83;63.1;----------;.0
03.09.83;246;1984;231;16.06.83;WW;--------;---;.0;03.09.83;5.2;16.04.84;56.9;25.05.84;32.2
23.08.84;236;1985;90;16.06.84;WRC;19.08.84;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.85;121;1985;245;17.02.85;SG;--------;---;.0;01.05.85;68.1;----------;.0;----------;.0
skipped;0;0;0;03.09.85;000;02.09.85;RM;240.0;----------;.0;----------;.0;----------;.0
03.05.86;123;1986;288;15.02.86;SM;--------;---;.0;03.05.86;59.3;06.07.86;58.5;----------;.0
20.10.86;293;1987;246;17.06.86;WW;16.10.86;RM;240.0;----------;.0;27.04.87;47.1;----------;.0
10.09.87;253;1988;220;16.06.87;WRA;04.09.87;RM;240.0;----------;.0;29.02.88;59.0;04.04.88;4.2
01.09.88;245;1989;225;16.06.88;WW;--------;---;.0;----------;.0;20.02.89;47.9;17.05.89;30.1
18.08.89;230;1990;90;16.06.89;WRC;14.08.89;RM;240.0;----------;.0;----------;.0;----------;.0
