sowing;sowD;harvY;harvD;till;crop;Orgdat;Type;OrgN;NDat1;N1;Ndat2;N2;Ndat3;N3
19.08.61;231;1962;41;15.06.61;WRC;--------;---;.0;----------;.0;----------;.0;----------;.0
10.04.62;100;1962;258;15.03.62;SM;--------;---;.0;10.04.62;67.2;30.05.62;56.1;----------;.0
20.09.62;263;1963;186;16.09.62;WW;16.09.62;RM;240.0;20.09.62;5.0;13.04.63;58.4;----------;.0
19.08.63;231;1964;193;06.07.63;WRA;06.07.63;RM;240.0;----------;.0;29.02.64;68.4;08.04.64;39.5
23.09.64;267;1965;204;12.07.64;WW;--------;---;.0;----------;.0;08.04.65;64.7;19.05.65;16.3
06.08.65;218;1966;41;24.07.65;WRC;24.07.65;RM;240.0;----------;.0;----------;.0;----------;.0
20.04.66;110;1966;212;15.02.66;SG;--------;---;.0;20.04.66;62.4;----------;.0;----------;.0
11.08.66;223;1967;41;02.08.66;WRC;01.08.66;RM;240.0;----------;.0;----------;.0;----------;.0
11.04.67;101;1967;254;15.03.67;SM;--------;---;.0;11.04.67;81.2;06.06.67;61.5;----------;.0
23.09.67;266;1968;190;13.09.67;WW;12.09.67;RM;240.0;----------;.0;02.04.68;31.3;----------;.0
21.08.68;234;1969;195;09.07.68;WRA;09.07.68;RM;240.0;----------;.0;01.03.69;64.3;----------;.0
18.09.69;261;1970;202;15.07.69;WW;--------;---;.0;----------;.0;10.04.70;60.9;----------;.0
07.08.70;219;1971;41;22.07.70;WRC;22.07.70;RM;240.0;----------;.0;----------;.0;----------;.0
21.03.71;80;1971;203;15.02.71;SG;--------;---;.0;21.03.71;73.4;----------;.0;----------;.0
14.08.71;226;1972;41;24.07.71;WRC;23.07.71;RM;240.0;----------;.0;----------;.0;----------;.0
11.04.72;102;1972;259;15.02.72;SM;--------;---;.0;11.04.72;38.9;04.06.72;87.5;----------;.0
20.09.72;264;1973;197;16.09.72;WW;16.09.72;RM;240.0;----------;.0;30.03.73;13.0;----------;.0
10.08.73;222;1974;202;18.07.73;WRA;17.07.73;RM;240.0;----------;.0;01.03.74;59.4;----------;.0
18.09.74;261;1975;187;22.07.74;WW;--------;---;.0;----------;.0;16.03.75;47.7;----------;.0
09.08.75;221;1976;41;07.07.75;WRC;07.07.75;RM;240.0;----------;.0;----------;.0;----------;.0
02.04.76;93;1976;208;15.02.76;SG;--------;---;.0;02.04.76;70.4;----------;.0;----------;.0
06.08.76;219;1977;41;27.07.76;WRC;27.07.76;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.77;121;1977;258;15.02.77;SM;--------;---;.0;01.05.77;66.6;17.06.77;28.7;----------;.0
24.09.77;267;1978;211;16.09.77;WW;16.09.77;RM;240.0;----------;.0;03.04.78;23.6;----------;.0
10.08.78;222;1979;189;31.07.78;WRA;31.07.78;RM;240.0;----------;.0;01.03.79;69.2;28.03.79;51.8
18.09.79;261;1980;210;09.07.79;WW;--------;---;.0;----------;.0;02.04.80;55.3;19.05.80;.2
07.08.80;220;1981;41;30.07.80;WRC;29.07.80;RM;240.0;----------;.0;----------;.0;----------;.0
30.03.81;89;1981;205;15.02.81;SG;--------;---;.0;30.03.81;68.5;----------;.0;----------;.0
06.08.81;218;1982;41;25.07.81;WRC;25.07.81;RM;240.0;----------;.0;----------;.0;----------;.0
05.04.82;95;1982;258;15.02.82;SM;--------;---;.0;05.04.82;69.4;----------;.0;----------;.0
26.09.82;269;1983;189;16.09.82;WW;16.09.82;RM;240.0;----------;.0;26.03.83;42.1;----------;.0
10.08.83;222;1984;201;09.07.83;WRA;09.07.83;RM;240.0;----------;.0;29.02.84;68.9;01.04.84;19.9
19.09.84;263;1985;205;21.07.84;WW;--------;---;.0;----------;.0;05.04.85;61.4;14.05.85;12.7
06.08.85;218;1986;41;25.07.85;WRC;25.07.85;RM;240.0;----------;.0;----------;.0;----------;.0
30.03.86;89;1986;196;15.02.86;SG;--------;---;.0;30.03.86;68.2;----------;.0;----------;.0
16.08.86;228;1987;41;16.07.86;WRC;16.07.86;RM;240.0;----------;.0;----------;.0;----------;.0
07.04.87;97;1987;258;15.02.87;SM;--------;---;.0;07.04.87;13.0;11.06.87;60.0;----------;.0
21.09.87;264;1988;198;16.09.87;WW;16.09.87;RM;240.0;----------;.0;01.04.88;51.6;----------;.0
10.08.88;223;1989;190;18.07.88;WRA;17.07.88;RM;240.0;----------;.0;01.03.89;68.9;21.03.89;11.9
19.09.89;262;1990;198;10.07.89;WW;--------;---;.0;----------;.0;19.03.90;3.2;----------;.0
09.08.90;221;1991;41;19.07.90;WRC;19.07.90;RM;240.0;----------;.0;----------;.0;----------;.0
16.03.91;75;1991;200;11.02.91;SG;--------;---;.0;16.03.91;47.3;----------;.0;----------;.0
17.08.91;229;1992;41;21.07.91;WRC;20.07.91;RM;240.0;----------;.0;----------;.0;----------;.0
26.04.92;117;1992;258;11.02.92;SM;--------;---;.0;26.04.92;35.6;10.06.92;56.4;----------;.0
19.09.92;263;1993;189;16.09.92;WW;15.09.92;RM;240.0;----------;.0;05.04.93;41.6;----------;.0
12.08.93;224;1994;187;09.07.93;WRA;09.07.93;RM;240.0;----------;.0;01.03.94;41.7;----------;.0
23.09.94;266;1995;193;07.07.94;WW;--------;---;.0;----------;.0;14.03.95;41.3;----------;.0
08.08.95;220;1996;41;13.07.95;WRC;13.07.95;RM;240.0;----------;.0;----------;.0;----------;.0
07.04.96;98;1996;193;11.02.96;SG;--------;---;.0;07.04.96;53.9;----------;.0;----------;.0
07.08.96;220;1997;41;12.07.96;WRC;12.07.96;RM;240.0;----------;.0;----------;.0;----------;.0
01.05.97;121;1997;258;11.02.97;SM;--------;---;.0;01.05.97;31.9;12.06.97;69.1;----------;.0
20.09.97;263;1998;194;16.09.97;WW;16.09.97;RM;240.0;----------;.0;07.03.98;8.1;----------;.0
12.08.98;224;1999;187;15.07.98;WRA;14.07.98;RM;240.0;----------;.0;01.03.99;69.2;31.03.99;54.8
18.09.99;261;2000;186;07.07.99;WW;--------;---;.0;----------;.0;02.04.00;53.4;----------;.0
07.08.00;220;2001;41;06.07.00;WRC;05.07.00;RM;240.0;----------;.0;----------;.0;----------;.0
03.04.01;93;2001;200;11.02.01;SG;--------;---;.0;03.04.01;64.9;----------;.0;----------;.0
13.08.01;225;2002;41;21.07.01;WRC;20.07.01;RM;240.0;----------;.0;----------;.0;----------;.0
17.04.02;107;2002;255;11.02.02;SM;--------;---;.0;17.04.02;43.8;29.05.02;59.8;----------;.0
18.09.02;261;2003;187;13.09.02;WW;13.09.02;RM;240.0;----------;.0;06.04.03;52.5;----------;.0
13.08.03;225;2004;192;07.07.03;WRA;07.07.03;RM;240.0;----------;.0;29.02.04;69.1;23.03.04;30.2
18.09.04;262;2005;194;12.07.04;WW;--------;---;.0;----------;.0;06.04.05;62.2;11.05.05;22.4
11.08.05;223;2006;41;15.07.05;WRC;14.07.05;RM;240.0;----------;.0;----------;.0;----------;.0
09.04.06;99;2006;193;11.02.06;SG;--------;---;.0;09.04.06;72.7;----------;.0;----------;.0
16.08.06;228;2007;41;13.07.06;WRC;13.07.06;RM;240.0;----------;.0;----------;.0;----------;.0
06.04.07;96;2007;256;11.02.07;SM;--------;---;.0;06.04.07;35.3;----------;.0;----------;.0
20.09.07;263;2008;193;14.09.07;WW;14.09.07;RM;240.0;----------;.0;23.03.08;41.4;----------;.0
11.08.08;224;2009;185;12.07.08;WRA;12.07.08;RM;240.0;----------;.0;01.03.09;69.0;24.03.09;56.5
18.09.09;261;2010;190;06.07.09;WW;--------;---;.0;----------;.0;29.03.10;62.5;07.05.10;35.7
12.08.10;224;2011;41;10.07.10;WRC;10.07.10;RM;240.0;----------;.0;----------;.0;----------;.0
16.03.11;75;2011;187;11.02.11;SG;--------;---;.0;16.03.11;71.4;----------;.0;----------;.0
07.08.11;219;2012;41;07.07.11;WRC;07.07.11;RM;240.0;----------;.0;----------;.0;----------;.0
06.04.12;97;2012;242;11.02.12;SM;--------;---;.0;06.04.12;17.1;01.06.12;75.5;----------;.0
23.09.12;267;2013;192;30.08.12;WW;30.08.12;RM;240.0;----------;.0;19.03.13;27.3;----------;.0
10.08.13;222;2014;191;12.07.13;WRA;12.07.13;RM;240.0;----------;.0;01.03.14;62.5;----------;.0
18.09.14;261;2015;187;12.07.14;WW;--------;---;.0;----------;.0;03.04.15;61.4;04.05.15;16.1
19.08.15;231;2016;41;07.07.15;WRC;07.07.15;RM;240.0;----------;.0;----------;.0;----------;.0
23.03.16;83;2016;185;11.02.16;SG;--------;---;.0;23.03.16;60.9;----------;.0;----------;.0
12.08.16;225;2017;41;04.07.16;WRC;04.07.16;RM;240.0;----------;.0;----------;.0;----------;.0
11.04.17;101;2017;246;11.02.17;SM;--------;---;.0;11.04.17;48.5;30.05.17;64.9;----------;.0
12.10.17;285;2018;185;04.09.17;WW;04.09.17;RM;240.0;----------;.0;24.03.18;29.1;----------;.0
11.08.18;223;2019;183;06.07.18;WRA;05.07.18;RM;240.0;----------;.0;----------;.0;----------;.0
23.09.19;266;2020;189;03.07.19;WW;--------;---;.0;----------;.0;14.03.20;60.8;29.04.20;7.3
06.08.20;219;2021;41;09.07.20;WRC;08.07.20;RM;240.0;----------;.0;----------;.0;----------;.0
28.03.21;87;2021;191;11.02.21;SG;--------;---;.0;28.03.21;56.0;----------;.0;----------;.0
19.08.21;231;2022;41;12.07.21;WRC;11.07.21;RM;240.0;----------;.0;----------;.0;----------;.0
05.04.22;95;2022;257;11.02.22;SM;--------;---;.0;05.04.22;54.4;13.06.22;84.2;----------;.0
05.10.22;278;2023;186;16.09.22;WW;15.09.22;RM;240.0;----------;.0;14.03.23;39.2;----------;.0
23.08.23;235;2024;177;06.07.23;WRA;06.07.23;RM;240.0;----------;.0;29.02.24;51.8;----------;.0
22.09.24;266;2025;188;27.06.24;WW;--------;---;.0;----------;.0;21.03.25;46.4;----------;.0
19.08.25;231;2026;41;09.07.25;WRC;08.07.25;RM;240.0;----------;.0;----------;.0;----------;.0
19.03.26;78;2026;182;11.02.26;SG;--------;---;.0;19.03.26;68.5;----------;.0;----------;.0
19.08.26;231;2027;41;03.07.26;WRC;02.07.26;RM;240.0;----------;.0;----------;.0;----------;.0
05.04.27;95;2027;248;11.02.27;SM;--------;---;.0;05.04.27;44.0;26.05.27;8.2;----------;.0
